 written on  6Jan2020 at 00:07:08 
          36
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1   22   13    0.000340   -0.000019
   -1   -1   -1   23   13    0.002045    0.000017
   -1   -1   -1   24   13    0.001250   -0.000068
   -1   -1   -1   25   13    0.010250   -0.005881
   -1   -1   -1   26   13    0.021404    0.000514
   -1   -1   -1   27   13    0.002283   -0.001308
   -1   -1   -1   28   13    0.000318   -0.000756
   -1   -1   -1   29   13   -0.014545    0.001136
   -1   -1   -1   30   13    0.060323    0.000302
   -1   -1   -1   31   13   -0.001960    0.000968
   -1   -1   -1   32   13   -0.005533    0.000471
   -1   -1   -1   33   13   -0.141298   -0.001859
   -1   -1   -1   34   13    0.029828   -0.000285
   -1   -1   -1   35   13   -0.428377    0.000786
   -1   -1   -1   36   13    0.498988    0.001610
   -1   -1   -1    1   14    0.003723   -0.000068
   -1   -1   -1    2   14   -0.009332   -0.000389
   -1   -1   -1    3   14    0.000062   -0.001089
   -1   -1   -1    4   14   -0.000043    0.000192
   -1   -1   -1    5   14   -0.000950    0.000049
   -1   -1   -1    6   14    0.000149    0.000226
   -1   -1   -1    7   14    0.000306    0.000010
   -1   -1   -1    8   14   -0.000111    0.000029
   -1   -1   -1    9   14   -0.015436    0.000484
   -1   -1   -1   10   14   -0.001603   -0.001291
   -1   -1   -1   11   14    0.013474   -0.000034
   -1   -1   -1   12   14    0.006787    0.000321
   -1   -1   -1   13   14   -0.000740    0.002880
   -1   -1   -1   14   14    0.000167   -0.000000
   -1   -1   -1   15   14   -0.002613   -0.000029
   -1   -1   -1   16   14    0.000777   -0.000126
   -1   -1   -1   17   14   -0.000774   -0.000112
   -1   -1   -1   18   14   -0.001154    0.000159
   -1   -1   -1   19   14   -0.000081   -0.000089
   -1   -1   -1   20   14   -0.000008   -0.000353
   -1   -1   -1   21   14    0.000397    0.000012
   -1   -1   -1   22   14   -0.002080    0.000164
   -1   -1   -1   23   14    0.000742    0.000067
   -1   -1   -1   24   14    0.000557    0.000301
   -1   -1   -1   25   14    0.004622   -0.001979
   -1   -1   -1   26   14   -0.011136   -0.000043
   -1   -1   -1   27   14    0.000332    0.000197
   -1   -1   -1   28   14   -0.000070   -0.000192
   -1   -1   -1   29   14   -0.006132    0.000111
   -1   -1   -1   30   14   -0.043242    0.000048
   -1   -1   -1   31   14    0.000733   -0.000166
   -1   -1   -1   32   14   -0.000342    0.000594
   -1   -1   -1   33   14   -0.030434    0.003431
   -1   -1   -1   34   14   -0.083582    0.001437
   -1   -1   -1   35   14    0.000228    0.000401
   -1   -1   -1   36   14    0.010039   -0.000118
   -1   -1   -1    1   15   -0.000382   -0.000105
   -1   -1   -1    2   15   -0.000555   -0.000331
   -1   -1   -1    3   15    0.001341   -0.000162
   -1   -1   -1    4   15   -0.000992    0.000012
   -1   -1   -1    5   15   -0.005333   -0.000012
   -1   -1   -1    6   15    0.001035    0.000137
   -1   -1   -1    7   15    0.000040    0.000014
   -1   -1   -1    8   15   -0.000912   -0.000000
   -1   -1   -1    9   15    0.015328    0.000219
   -1   -1   -1   10   15   -0.000309   -0.002835
   -1   -1   -1   11   15    0.000746   -0.000169
   -1   -1   -1   12   15    0.002364    0.000101
   -1   -1   -1   13   15   -0.004050    0.000141
   -1   -1   -1   14   15   -0.002613    0.000029
   -1   -1   -1   15   15    0.000582    0.000000
   -1   -1   -1   16   15    0.000141    0.000058
   -1   -1   -1   17   15    0.001130   -0.000091
   -1   -1   -1   18   15    0.000512    0.000012
   -1   -1   -1   19   15   -0.000037    0.000028
   -1   -1   -1   20   15    0.001039   -0.000032
   -1   -1   -1   21   15   -0.001463    0.000069
   -1   -1   -1   22   15    0.000000    0.000028
   -1   -1   -1   23   15    0.000092   -0.000025
   -1   -1   -1   24   15    0.001427    0.000028
   -1   -1   -1   25   15   -0.001178   -0.001432
   -1   -1   -1   26   15    0.000338   -0.000205
   -1   -1   -1   27   15    0.001778   -0.000099
   -1   -1   -1   28   15   -0.000434   -0.000215
   -1   -1   -1   29   15    0.000523    0.000835
   -1   -1   -1   30   15    0.001849   -0.000071
   -1   -1   -1   31   15    0.014205   -0.000179
   -1   -1   -1   32   15    0.000409    0.000039
   -1   -1   -1   33   15   -0.377021   -0.001488
   -1   -1   -1   34   15   -0.063334   -0.000076
   -1   -1   -1   35   15    0.060756   -0.000310
   -1   -1   -1   36   15   -0.097676    0.000859
   -1   -1   -1    1   16   -0.000129   -0.000098
   -1   -1   -1    2   16    0.001096   -0.000415
   -1   -1   -1    3   16    0.000215   -0.000513
   -1   -1   -1    4   16    0.000846    0.000096
   -1   -1   -1    5   16    0.003669   -0.000019
   -1   -1   -1    6   16    0.000370   -0.000380
   -1   -1   -1    7   16   -0.000870    0.000005
   -1   -1   -1    8   16   -0.001209   -0.000055
