 written on 10Jan2020 at 02:22:22 
          22
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    8   18   -0.018857   -0.071175
   -1   -1   -1    9   18    0.058173    0.023436
   -1   -1   -1   10   18   -0.002852   -0.003931
   -1   -1   -1   11   18    0.007623   -0.032613
   -1   -1   -1   12   18    0.013903    0.004503
   -1   -1   -1   13   18    0.002338    0.003460
   -1   -1   -1   14   18    0.001165   -0.011480
   -1   -1   -1   15   18   -0.042997    0.040969
   -1   -1   -1   16   18    0.000400    0.015048
   -1   -1   -1   17   18   -0.019955   -0.019446
   -1   -1   -1   18   18    0.050822   -0.000000
   -1   -1   -1   19   18   -0.001427   -0.056238
   -1   -1   -1   20   18   -0.032829   -0.005553
   -1   -1   -1   21   18    0.012236    0.002413
   -1   -1   -1   22   18   -0.017824    0.007475
   -1   -1   -1    1   19   -0.004371    0.005770
   -1   -1   -1    2   19    0.028867   -0.014671
   -1   -1   -1    3   19   -0.042337    0.009993
   -1   -1   -1    4   19    0.009125   -0.003378
   -1   -1   -1    5   19    0.005940   -0.001427
   -1   -1   -1    6   19    0.001449    0.004178
   -1   -1   -1    7   19    0.009718   -0.012521
   -1   -1   -1    8   19   -0.001637    0.038855
   -1   -1   -1    9   19   -0.004824   -0.013598
   -1   -1   -1   10   19    0.006378   -0.003265
   -1   -1   -1   11   19    0.006028    0.039548
   -1   -1   -1   12   19    0.006251   -0.011616
   -1   -1   -1   13   19   -0.004327   -0.007783
   -1   -1   -1   14   19   -0.002105    0.007061
   -1   -1   -1   15   19    0.029467   -0.075583
   -1   -1   -1   16   19    0.020687    0.002348
   -1   -1   -1   17   19    0.001657    0.011780
   -1   -1   -1   18   19   -0.001427    0.056238
   -1   -1   -1   19   19   -0.014431    0.000000
   -1   -1   -1   20   19    0.015334    0.008208
   -1   -1   -1   21   19   -0.009144   -0.007019
   -1   -1   -1   22   19   -0.013387   -0.002506
   -1   -1   -1    1   20    0.008624    0.003227
   -1   -1   -1    2   20   -0.060747    0.002264
   -1   -1   -1    3   20   -0.013069   -0.033814
   -1   -1   -1    4   20   -0.002953   -0.001387
   -1   -1   -1    5   20    0.000702   -0.001041
   -1   -1   -1    6   20   -0.002404   -0.000769
   -1   -1   -1    7   20   -0.006452   -0.004024
   -1   -1   -1    8   20   -0.022434    0.018257
   -1   -1   -1    9   20   -0.001582    0.002071
   -1   -1   -1   10   20   -0.002104    0.001234
   -1   -1   -1   11   20    0.004920   -0.000118
   -1   -1   -1   12   20    0.000343   -0.002613
   -1   -1   -1   13   20    0.003553   -0.000838
   -1   -1   -1   14   20   -0.045577   -0.008219
   -1   -1   -1   15   20   -0.004896    0.023026
   -1   -1   -1   16   20    0.005435    0.005827
   -1   -1   -1   17   20    0.009264   -0.004835
   -1   -1   -1   18   20   -0.032829    0.005553
   -1   -1   -1   19   20    0.015334   -0.008208
   -1   -1   -1   20   20   -0.002236    0.000000
   -1   -1   -1   21   20   -0.002660    0.001963
   -1   -1   -1   22   20   -0.003855    0.002810
   -1   -1   -1    1   21   -0.003983    0.000328
   -1   -1   -1    2   21    0.028397   -0.003563
   -1   -1   -1    3   21   -0.022084   -0.032847
